序号,品牌,判定,价格虚高风险,原因,数据来源
1566,"Lubriderm,GLYSOMED加素美",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1567,芭克美,非假洋牌(国产),低,需进一步核实,规则推断·未核验
1568,CMLink,真洋牌,低-中,"中国移动国际真品牌,母国公司真实",已联网核验
1569,"达格诺（Didier Dagueneau）,约瑟夫杜鲁安（Joseph Drouhin ）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1570,Mioyo妙友,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1571,"皮埃尔·吉拉尔丁酒庄（Pierre Girardin）,约瑟夫杜鲁安（Joseph Drouhin ）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1572,Alfresco,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1573,Apagard,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1574,Hulubulu,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1575,淘物人,非假洋牌(国产),低,需进一步核实,规则推断·未核验
1576,"ANTIO,LZ 美妆",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1577,"Turkey Hill Sugarbush,哥伦布斯（COLUMBUS）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1578,美乐家（melitta）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1579,"FINGKARO,科丽真",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1580,"劳拉之星（LAURASTAR）,SAGE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1581,"其他家  OTHER HOME,吾诺（UNO）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1582,响(Hibiki),待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1583,"SUMDOY,EXPRESSIONS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1584,"LIFE EXTENSION,Nature's Bounty",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1585,"GBT,Kizs the Nature",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1586,"SEA BREEZE,Oneday Brightener",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1587,"Dariya,SHEVEU",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1588,LANNITI,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1589,"preparation H,赤姬",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1590,"Nittaku,高丝（Kose）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1591,"健力士（GUINNESS）,野格",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1592,"BLEMIL,Caprilac",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1593,"krups,Alessi",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1594,"LeTAO,白色恋人",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1595,"CHATEAU POUJEAUX,木桐（Mouton）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1596,"Dermaroller,MCM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1597,"珀莱雅双抗,PORCOPE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1598,"易利气,德国雄狮",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1599,"SNACKIT,Health Care",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1600,"Benamor,UZU",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1601,Aneoktur,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1602,belulu,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1603,三得利Suntory,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1604,"其他品牌,TEAC",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1605,"倍得适（Playtex）,Dariya",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1606,"碧缇丝（batiste）,体吉（TIGI）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1607,"高丝（Kose）,牛乳石硷",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1608,HZ,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
1609,"HIDDEN VALLEY RANCH,Horizon Organic",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1610,"EARTHQUAKE,达尼（DALI）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1611,Wedgwood,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1612,"森宝（Semper）,子母（DUTCH LADY）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1613,"WIS,蜜丝婷（misiting）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1614,"德国世家（Dr.Hauschka）,Dermaroller",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1615,"高丝（Kose）,欧护（OFF！）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1616,"A'PIEU,FANOLA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1617,"生鲜本能（instinct）,NOW FRESH",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1618,百昌隆,非假洋牌(国产),低,需进一步核实,规则推断·未核验
1619,"Alpha Hydrox,千妍",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1620,"格兰纳里奇（GlenAllachie）,吉拉（JURA）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1621,伟彩（vcolor）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1622,"蕾珂美,箴颜（ZIINYIIN）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1623,"幽兰一品（THE ORCHID SKIN）,高丝（Kose）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1624,"高丝（Kose）,水之印（AQUALABEL）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1625,"Dariya,星洲",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1626,"喜宝（HiPP）,妙思乐（Mustela）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1627,"TO&FOR,秀肤生（Cell Fusion C）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1628,"无,ANTIO",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1629,"雪玲妃（Xuelinfe）,千贵合",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1630,"高丝（Kose）,PRICELINE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1631,"巴哈,BEECHLER",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1632,"膜法世家,颐莲（RELLET）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1633,"Dariya,马油（LOSHI）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1634,"纺优美,柔丽（SOFTLAN）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1635,"LORETTA,春雨（Papa recipe）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1636,LAVAZZA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1637,老瑶姜,非假洋牌(国产),低,需进一步核实,规则推断·未核验
1638,"KEDAI KOPITIAM ORIENTAL KOPI,乐敦（ROHTO）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1639,LABORTIS 1972,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1640,"KENTUCKY OWL,百世醇（BUSHMILLS）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1641,未来（VAPE）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1642,"碧唇（Blistex）,摩隆（MARO）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1643,Teekanne,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1644,"LADY JAYNE,可瑞康（karicare）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1645,CHOYA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1646,"悠了优乐,SAUBOTA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1647,"HARIO,孔雀（Peacock）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1648,"艾藜儿,KUVIVE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1649,"绿色溪谷,高丝（Kose）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1650,"果本（gooben）,PUCO",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1651,"卓營方（YESNUTRI）,德国汉堡（Hamburg-B）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1652,"优斐斯（uface）,PLIFT",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1653,"AG,Tondi",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1654,"水梦令,安婕抒",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1655,NULAD,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1656,"澳袋丽,FAZAU",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1657,"VOLCAN DE MI TIERRA,PADRE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1658,"亚都（YADU）,PHTY",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1659,"SAGE,美诺（MIELE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1660,"D二次方（DSquared2）,AMIRI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1661,"贝拉米（Bellamy's）,Hero Baby",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1662,Gc,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
1663,"HABA,KENTUCKY OWL",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1664,"iCANDOR,AIRBUGGY",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1665,"Dariya,藤井源创",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1666,"UZU,FANBEAUTY",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1667,"GIMSIBLY,Flowerlure花间颂",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1668,"公仔炒面王,Tropical Fields",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1669,"GLYSOMED加素美,Nutella",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1670,"格兰纳里奇（GlenAllachie）,拉图嘉利",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1671,"BSAI,VIRTUE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1672,"JAPANHOME,EZ COOK",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1673,"BABI,雅莎尔（yashaer）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1674,"金鸟（KINCHO）,Farmstay",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1675,"red seal,SHEVEU",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1676,花绮（HACCI）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1677,"波路梦（Bourbon）,POKKA SAPPORO",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1678,"其他家,JOLI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1679,"康萃乐,mannings",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1680,"何濟公（C. K. HO）,撒隆巴斯（SALONPAS）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1681,雅莉格丝（Elegance）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1682,FAITH IN NATURE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1683,PANPURI,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
